Date,H/A,Opponent,GS,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,XI,ROE,GDP,SB,CS,AVG,OBP,SLG,OPS,BP,Pos
2011-04-01T00:00:00Z,H,ARI,1,6,1,3,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.5,0.5,0.667,1.167,3,lf
2011-04-02T00:00:00Z,H,ARI,1,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.444,0.5,0.556,1.056,3,lf
2011-04-05T00:00:00Z,H,LA,1,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.333,0.429,0.417,0.846,3,lf
2011-04-06T00:00:00Z,H,LA,1,3,3,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.4,0.5,0.533,1.033,3,lf
2011-04-07T00:00:00Z,A,PIT,1,4,2,1,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0.368,0.435,0.474,0.909,3,lf
2011-04-08T00:00:00Z,A,PIT,1,7,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0.269,0.333,0.346,0.679,3,lf
2011-04-09T00:00:00Z,A,PIT,1,4,1,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.333,0.382,0.4,0.782,3,lf
2011-04-10T00:00:00Z,A,PIT,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.323,0.371,0.387,0.758,3,ph
2011-04-11T00:00:00Z,A,NY,1,5,1,1,0,0,0,3,0,0,1,0,0,0,0,1,0,0,0,0.306,0.35,0.361,0.711,3,lf
2011-04-13T00:00:00Z,A,NY,1,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.268,0.311,0.317,0.628,3,lf
2011-04-14T00:00:00Z,A,NY,1,4,1,1,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0.267,0.32,0.378,0.698,3,lf
2011-04-14T00:00:00Z,A,NY,1,5,1,1,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0.26,0.309,0.36,0.669,3,lf
2011-04-15T00:00:00Z,H,CHI,1,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0.241,0.288,0.333,0.621,3,lf
2011-04-17T00:00:00Z,H,CHI,1,5,1,4,1,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0.288,0.328,0.39,0.718,3,lf
2011-04-18T00:00:00Z,H,SF,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29,0.328,0.387,0.7150000000000001,3,lf
2011-04-19T00:00:00Z,H,SF,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.273,0.31,0.364,0.6739999999999999,3,lf
2011-04-20T00:00:00Z,H,SF,1,4,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0.257,0.303,0.343,0.646,3,lf
2011-04-22T00:00:00Z,A,FLA,1,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.243,0.288,0.324,0.612,3,lf
2011-04-23T00:00:00Z,A,FLA,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.234,0.286,0.312,0.598,3,lf
2011-04-24T00:00:00Z,A,FLA,1,2,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0.228,0.284,0.304,0.588,3,lf
2011-04-25T00:00:00Z,A,CHI,1,4,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0.217,0.272,0.289,0.5609999999999999,3,lf
2011-04-26T00:00:00Z,A,CHI,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.214,0.269,0.286,0.5549999999999999,9,lf
2011-04-29T00:00:00Z,H,PIT,1,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.216,0.268,0.284,0.552,3,lf
2011-04-30T00:00:00Z,H,PIT,1,4,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.228,0.277,0.304,0.581,5,lf
2011-05-01T00:00:00Z,H,PIT,1,3,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.232,0.286,0.316,0.602,5,lf
2011-05-03T00:00:00Z,A,ARI,1,2,2,2,0,0,1,1,2,1,0,0,0,0,0,0,0,1,0,0.247,0.312,0.361,0.673,5,lf
2011-05-04T00:00:00Z,A,ARI,1,4,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.257,0.325,0.366,0.6910000000000001,3,lf
2011-05-05T00:00:00Z,A,ARI,1,5,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0.245,0.311,0.349,0.6599999999999999,3,lf
2011-05-06T00:00:00Z,A,SF,1,3,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0.239,0.301,0.339,0.64,3,lf
2011-05-07T00:00:00Z,A,SF,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.239,0.299,0.336,0.635,3,lf
2011-05-08T00:00:00Z,A,SF,1,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.241,0.305,0.336,0.641,3,lf
2011-05-09T00:00:00Z,H,NY,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.233,0.296,0.325,0.621,3,lf
2011-05-10T00:00:00Z,H,NY,1,4,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.234,0.295,0.347,0.6419999999999999,3,lf
2011-05-12T00:00:00Z,H,NY,1,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0.23,0.306,0.341,0.647,3,lf
2011-05-13T00:00:00Z,H,SD,1,4,3,1,0,1,0,1,1,0,0,0,0,0,0,0,0,2,0,0.231,0.309,0.354,0.663,3,lf
2011-05-14T00:00:00Z,H,SD,1,5,2,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0.237,0.312,0.378,0.69,3,lf
2011-05-15T00:00:00Z,H,SD,1,2,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0.234,0.316,0.372,0.688,3,lf
