Date,H/A,Opponent,GS,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,XI,ROE,GDP,SB,CS,AVG,OBP,SLG,OPS,BP,Pos
2016-04-04T00:00:00Z,A,ARI,1,5,2,2,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0.4,0.4,1,1.4,3,rf
2016-04-05T00:00:00Z,A,ARI,1,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.375,0.444,0.75,1.194,3,rf
2016-04-06T00:00:00Z,A,ARI,1,4,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.333,0.385,0.583,0.968,3,rf
2016-04-08T00:00:00Z,H,SD,1,4,0,1,1,0,0,1,1,0,2,0,0,0,0,1,0,0,0,0.313,0.389,0.563,0.952,3,rf
2016-04-09T00:00:00Z,H,SD,1,4,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.35,0.409,0.55,0.9590000000000001,3,rf
2016-04-10T00:00:00Z,H,SD,1,4,2,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0.375,0.423,0.792,1.215,3,rf
2016-04-12T00:00:00Z,H,SF,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.357,0.4,0.714,1.1139999999999999,3,rf
2016-04-13T00:00:00Z,H,SF,1,5,2,3,1,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0.394,0.429,0.788,1.217,3,rf
2016-04-14T00:00:00Z,H,SF,1,4,1,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0.378,0.425,0.757,1.182,3,rf
2016-04-15T00:00:00Z,A,CHI,1,4,1,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.39,0.444,0.732,1.176,3,rf
2016-04-16T00:00:00Z,A,CHI,1,4,1,2,0,0,1,2,0,0,1,0,0,0,0,0,0,0,1,0.4,0.449,0.778,1.227,3,rf
2016-04-17T00:00:00Z,A,CHI,1,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.367,0.415,0.714,1.129,3,rf
2016-04-18T00:00:00Z,A,CIN,1,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.377,0.421,0.698,1.119,3,rf
2016-04-19T00:00:00Z,A,CIN,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.351,0.393,0.649,1.042,3,rf
2016-04-20T00:00:00Z,A,CIN,1,3,1,2,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.367,0.415,0.683,1.098,3,rf
2016-04-22T00:00:00Z,H,LA,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.344,0.391,0.641,1.032,3,rf
