Date,H/A,Opponent,GS,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,XI,ROE,GDP,SB,CS,AVG,OBP,SLG,OPS,BP,Pos
2008-05-30T00:00:00Z,A,TEX,1,3,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.667,0.667,1.333,2,8,cf
2008-05-31T00:00:00Z,A,TEX,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.286,0.286,0.571,0.857,8,cf
2008-06-01T00:00:00Z,A,TEX,1,4,2,2,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.364,0.364,0.727,1.091,7,"cf,rf"
2008-06-02T00:00:00Z,H,DET,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.267,0.267,0.533,0.8,6,cf
2008-06-03T00:00:00Z,H,DET,1,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.211,0.211,0.421,0.632,8,cf
2008-06-04T00:00:00Z,H,DET,1,4,1,1,1,0,0,3,0,0,1,0,0,0,0,1,0,0,0,0.217,0.217,0.435,0.652,8,"cf,rf"
2008-06-06T00:00:00Z,H,ANA,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.192,0.192,0.385,0.577,8,cf
2008-06-07T00:00:00Z,H,ANA,1,4,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.233,0.233,0.467,0.7000000000000001,8,cf
2008-06-08T00:00:00Z,H,ANA,1,5,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.229,0.229,0.429,0.658,8,"cf,rf"
2008-06-10T00:00:00Z,H,NY,1,3,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.263,0.282,0.447,0.729,8,"cf,rf"
2008-06-11T00:00:00Z,H,NY,1,4,0,1,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0.262,0.279,0.452,0.7310000000000001,6,"cf,rf"
2008-06-12T00:00:00Z,H,NY,1,4,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0.261,0.277,0.435,0.712,7,cf
2008-06-13T00:00:00Z,A,SF,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26,0.275,0.42,0.6950000000000001,6,"cf,rf"
