Date,H/A,Opponent,GS,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,XI,ROE,GDP,SB,CS,AVG,OBP,SLG,OPS,BP,Pos
2014-03-31T00:00:00Z,A,MIA,1,4,1,2,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0.5,0.5,1.25,1.75,3,lf
2014-04-01T00:00:00Z,A,MIA,1,3,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0.429,0.5,1,1.5,3,lf
2014-04-02T00:00:00Z,A,MIA,1,3,1,1,1,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0.4,0.5,0.9,1.4,3,lf
2014-04-03T00:00:00Z,A,MIA,1,5,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0.333,0.412,0.667,1.079,3,lf
2014-04-04T00:00:00Z,H,ARI,1,4,2,2,0,1,1,4,1,0,0,0,0,0,0,0,1,0,0,0.368,0.455,0.895,1.35,3,lf
2014-04-05T00:00:00Z,H,ARI,1,3,1,1,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0.364,0.462,0.818,1.28,3,lf
2014-04-06T00:00:00Z,H,ARI,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.346,0.433,0.731,1.164,3,lf
2014-04-07T00:00:00Z,H,CHI,1,5,1,2,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0.355,0.429,0.774,1.203,3,lf
2014-04-09T00:00:00Z,H,CHI,1,5,1,3,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0.389,0.45,0.778,1.228,3,lf
2014-04-11T00:00:00Z,A,SF,1,4,1,1,0,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0.375,0.432,0.8,1.232,3,lf
2014-04-12T00:00:00Z,A,SF,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.341,0.396,0.727,1.123,3,lf
2014-04-13T00:00:00Z,A,SF,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.313,0.365,0.667,1.032,3,lf
2014-04-14T00:00:00Z,A,SD,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.288,0.351,0.615,0.966,3,lf
2014-04-15T00:00:00Z,A,SD,1,4,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0.286,0.355,0.589,0.944,3,lf
2014-04-16T00:00:00Z,A,SD,1,4,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.283,0.348,0.567,0.9149999999999999,3,lf
