Date,H/A,Opponent,GS,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,XI,ROE,GDP,SB,CS,AVG,OBP,SLG,OPS,BP,Pos
2013-04-01T00:00:00Z,A,MIL,1,5,2,2,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0.4,0.4,1,1.4,3,lf
2013-04-02T00:00:00Z,A,MIL,1,5,2,2,0,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0.4,0.4,1,1.4,3,lf
2013-04-03T00:00:00Z,A,MIL,1,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0.8,1.2000000000000002,3,lf
2013-04-05T00:00:00Z,H,SD,1,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.333,0.368,0.667,1.0350000000000001,3,lf
2013-04-06T00:00:00Z,H,SD,1,3,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.333,0.391,0.619,1.01,3,lf
2013-04-07T00:00:00Z,H,SD,1,4,2,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.36,0.429,0.64,1.069,3,lf
2013-04-08T00:00:00Z,A,SF,1,4,1,1,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0.345,0.406,0.69,1.096,3,lf
2013-04-09T00:00:00Z,A,SF,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.303,0.361,0.606,0.967,3,lf
2013-04-10T00:00:00Z,A,SF,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.286,0.359,0.571,0.9299999999999999,3,lf
2013-04-12T00:00:00Z,A,SD,1,3,1,1,1,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0.289,0.386,0.579,0.965,3,lf
2013-04-13T00:00:00Z,A,SD,1,4,2,3,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0.333,0.429,0.619,1.048,3,lf
2013-04-16T00:00:00Z,H,NY,1,4,2,2,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.348,0.444,0.717,1.161,3,lf
2013-04-16T00:00:00Z,H,NY,1,4,3,3,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0.38,0.467,0.74,1.207,3,lf
2013-04-18T00:00:00Z,H,NY,1,5,2,3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.4,0.477,0.745,1.222,3,lf
2013-04-19T00:00:00Z,H,ARI,1,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.373,0.449,0.695,1.144,3,lf
2013-04-20T00:00:00Z,H,ARI,1,3,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0.371,0.452,0.694,1.146,3,lf
2013-04-21T00:00:00Z,H,ARI,1,4,0,1,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0.364,0.442,0.667,1.109,3,lf
2013-04-23T00:00:00Z,H,ATL,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.343,0.42,0.629,1.049,3,lf
