G.Num,HorA,DOW,Date,Opponent,Time
147,A,Thu,14-Sep,D-backs,1:40p
148,H,Fri,15-Sep,Padres,6:40p
149,H,Sat,16-Sep,Padres,6:10p
150,H,Sun,17-Sep,Padres,1:10p
151,A,Tue,19-Sep,Giants,8:15p
152,A,Wed,20-Sep,Giants,1:45p
153,A,Thu,21-Sep,Padres,8:10p
154,A,Fri,22-Sep,Padres,8:10p
155,A,Sat,23-Sep,Padres,6:40p
156,A,Sun,24-Sep,Padres,2:40p
157,H,Mon,25-Sep,Marlins,6:40p
158,H,Tue,26-Sep,Marlins,6:40p
159,H,Wed,27-Sep,Marlins,1:10p
160,H,Fri,29-Sep,Dodgers,6:10p
161,H,Sat,30-Sep,Dodgers,6:10p
162,H,Sun,1-Oct,Dodgers,1:10p
