Date,H/A,Opponent,GS,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,XI,ROE,GDP,SB,CS,AVG,OBP,SLG,OPS,BP,Pos
2012-04-06T00:00:00Z,A,HOU,1,5,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.2,0.2,0.4,0.6000000000000001,3,lf
2012-04-07T00:00:00Z,A,HOU,1,4,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.222,0.222,0.444,0.666,3,lf
2012-04-08T00:00:00Z,A,HOU,1,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.231,0.231,0.385,0.616,3,lf
2012-04-09T00:00:00Z,H,SF,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.176,0.176,0.294,0.47,3,lf
2012-04-11T00:00:00Z,H,SF,1,5,4,3,0,2,0,4,1,0,0,0,0,0,0,0,0,0,0,0.273,0.304,0.545,0.849,3,lf
2012-04-12T00:00:00Z,H,SF,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.269,0.296,0.5,0.796,3,lf
2012-04-13T00:00:00Z,H,ARI,1,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29,0.313,0.484,0.7969999999999999,3,lf
2012-04-17T00:00:00Z,H,SD,1,2,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0.273,0.333,0.455,0.788,3,lf
2012-04-18T00:00:00Z,H,SD,1,3,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.25,0.325,0.417,0.742,3,lf
2012-04-20T00:00:00Z,A,MIL,1,5,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0.268,0.333,0.415,0.748,3,lf
2012-04-21T00:00:00Z,A,MIL,1,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.244,0.306,0.378,0.6839999999999999,3,lf
2012-04-22T00:00:00Z,A,MIL,1,5,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0.24,0.296,0.36,0.6559999999999999,3,lf
2012-04-24T00:00:00Z,A,PIT,1,4,2,3,0,0,2,4,0,0,1,0,0,0,0,0,0,0,0,0.278,0.328,0.5,0.8280000000000001,3,lf
2012-04-25T00:00:00Z,A,PIT,1,3,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0.263,0.323,0.474,0.7969999999999999,3,lf
2012-04-25T00:00:00Z,A,PIT,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.246,0.303,0.443,0.746,3,lf
2012-04-27T00:00:00Z,H,NY,1,6,1,3,0,0,1,6,0,0,1,0,0,0,0,0,0,0,0,0.269,0.319,0.493,0.812,3,lf
2012-04-28T00:00:00Z,H,NY,1,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.271,0.329,0.486,0.815,3,lf
2012-04-29T00:00:00Z,H,NY,1,3,2,2,0,0,1,1,2,0,0,0,0,0,0,1,0,2,0,0.288,0.358,0.534,0.892,3,lf
2012-04-30T00:00:00Z,H,LA,1,3,2,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0.303,0.376,0.539,0.915,3,lf
2012-05-01T00:00:00Z,H,LA,1,4,1,1,0,0,1,2,0,0,2,1,0,0,0,0,0,0,0,0.3,0.378,0.563,0.941,3,lf
2012-05-02T00:00:00Z,H,LA,1,4,2,2,0,0,2,3,0,0,1,0,0,0,0,0,0,0,0,0.31,0.383,0.631,1.014,3,lf
2012-05-04T00:00:00Z,H,ATL,1,5,1,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0.292,0.37,0.596,0.966,3,lf
2012-05-05T00:00:00Z,H,ATL,1,4,0,4,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0.323,0.4,0.624,1.024,3,lf
2012-05-06T00:00:00Z,H,ATL,1,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0.313,0.394,0.604,0.998,3,lf
2012-05-07T00:00:00Z,A,SD,1,4,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.32,0.398,0.6,0.998,3,lf
