Date,H/A,Opponent,GS,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,XI,ROE,GDP,SB,CS,AVG,OBP,SLG,OPS,BP,Pos
2015-04-06T00:00:00Z,A,MIL,1,4,2,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.75,1.25,2,rf
2015-04-07T00:00:00Z,A,MIL,1,4,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.375,0.333,0.625,0.958,2,rf
2015-04-08T00:00:00Z,A,MIL,1,5,1,2,1,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0.385,0.357,0.846,1.2029999999999998,2,rf
2015-04-10T00:00:00Z,H,CHI,1,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.353,0.333,0.706,1.039,4,rf
2015-04-11T00:00:00Z,H,CHI,1,5,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.273,0.261,0.545,0.806,2,rf
2015-04-12T00:00:00Z,H,CHI,1,5,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.259,0.25,0.519,0.769,2,rf
2015-04-13T00:00:00Z,A,SF,1,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.258,0.273,0.484,0.757,2,rf
2015-04-14T00:00:00Z,A,SF,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.257,0.27,0.457,0.7270000000000001,2,rf
2015-04-15T00:00:00Z,A,SF,1,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.231,0.244,0.41,0.6539999999999999,2,rf
2015-04-18T00:00:00Z,A,LA,1,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.214,0.244,0.381,0.625,2,rf
2015-04-19T00:00:00Z,A,LA,1,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.222,0.25,0.378,0.628,2,rf
2015-04-20T00:00:00Z,H,SD,1,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.204,0.231,0.347,0.578,4,rf
2015-04-21T00:00:00Z,H,SD,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.189,0.214,0.321,0.535,3,rf
2015-04-22T00:00:00Z,H,SD,1,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.179,0.217,0.304,0.521,6,rf
2015-04-23T00:00:00Z,H,SD,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.175,0.213,0.298,0.511,8,rf
2015-04-24T00:00:00Z,H,SF,1,4,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.197,0.231,0.328,0.559,6,rf
2015-04-25T00:00:00Z,H,SF,1,5,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.197,0.229,0.364,0.593,6,rf
2015-04-27T00:00:00Z,A,ARI,1,2,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0.206,0.257,0.368,0.625,6,rf
2015-04-28T00:00:00Z,A,ARI,1,4,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0.208,0.256,0.361,0.617,6,rf
2015-04-29T00:00:00Z,A,ARI,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.2,0.247,0.347,0.594,6,rf
2015-05-01T00:00:00Z,A,SD,1,3,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0.192,0.247,0.333,0.5800000000000001,6,rf
2015-05-02T00:00:00Z,A,SD,1,3,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.198,0.258,0.333,0.591,6,rf
2015-05-03T00:00:00Z,A,SD,1,4,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0.2,0.258,0.329,0.587,4,rf
2015-05-06T00:00:00Z,H,ARI,1,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.205,0.268,0.33,0.5980000000000001,6,rf
2015-05-06T00:00:00Z,H,ARI,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.202,0.265,0.326,0.591,8,rf
2015-05-08T00:00:00Z,H,LA,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.198,0.26,0.319,0.579,6,rf
2015-05-10T00:00:00Z,H,LA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.196,0.257,0.315,0.5720000000000001,8,rf
2015-05-12T00:00:00Z,A,ANA,1,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.188,0.248,0.302,0.55,3,rf
2015-05-13T00:00:00Z,A,ANA,1,5,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.188,0.245,0.297,0.542,4,rf
2015-05-14T00:00:00Z,A,LA,1,3,2,1,0,0,1,3,2,0,1,0,0,0,0,0,0,0,0,0.192,0.261,0.327,0.5880000000000001,2,rf
2015-05-15T00:00:00Z,A,LA,1,4,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0.194,0.261,0.324,0.585,5,rf
2015-05-16T00:00:00Z,A,LA,1,5,2,2,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0.204,0.266,0.354,0.62,3,rf
2015-05-17T00:00:00Z,A,LA,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.197,0.258,0.342,0.6000000000000001,3,rf
2015-05-18T00:00:00Z,H,PHI,1,4,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.207,0.265,0.347,0.612,4,rf
2015-05-19T00:00:00Z,H,PHI,1,2,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0.203,0.272,0.341,0.613,3,rf
2015-05-20T00:00:00Z,H,PHI,1,4,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.205,0.271,0.339,0.6100000000000001,3,rf
2015-05-21T00:00:00Z,H,PHI,1,3,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.2,0.271,0.331,0.6020000000000001,3,rf
2015-05-22T00:00:00Z,H,SF,1,4,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0.201,0.275,0.328,0.603,3,rf
2015-05-23T00:00:00Z,H,SF,1,3,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.204,0.286,0.328,0.614,3,rf
2015-05-23T00:00:00Z,H,SF,1,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.206,0.285,0.326,0.611,3,rf
2015-05-26T00:00:00Z,A,CIN,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.201,0.284,0.319,0.603,3,rf
2015-05-27T00:00:00Z,A,CIN,1,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.208,0.287,0.322,0.609,3,rf
2015-05-29T00:00:00Z,A,PHI,1,3,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.211,0.292,0.322,0.614,4,rf
2015-05-30T00:00:00Z,A,PHI,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.212,0.291,0.321,0.612,4,rf
2015-05-31T00:00:00Z,A,PHI,1,4,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.219,0.296,0.331,0.627,4,rf
2015-06-02T00:00:00Z,H,LA,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.215,0.295,0.325,0.62,3,rf
2015-06-02T00:00:00Z,H,LA,1,5,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.226,0.303,0.339,0.642,4,rf
2015-06-03T00:00:00Z,H,LA,1,4,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0.227,0.306,0.337,0.643,4,rf
2015-06-05T00:00:00Z,H,MIA,1,4,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.233,0.31,0.341,0.651,4,rf
2015-06-06T00:00:00Z,H,MIA,1,4,1,2,0,0,1,3,1,0,1,0,0,0,0,0,0,0,0,0.239,0.317,0.361,0.6779999999999999,4,rf
2015-06-07T00:00:00Z,H,MIA,1,3,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0.24,0.32,0.377,0.6970000000000001,4,rf
2015-06-08T00:00:00Z,H,STL,1,4,1,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.246,0.322,0.385,0.7070000000000001,4,rf
2015-06-09T00:00:00Z,H,STL,1,4,1,2,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0.251,0.326,0.387,0.7130000000000001,4,rf
2015-06-10T00:00:00Z,H,STL,1,4,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.251,0.324,0.39,0.714,4,rf
2015-06-11T00:00:00Z,A,MIA,1,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.246,0.318,0.382,0.7,4,rf
2015-06-12T00:00:00Z,A,MIA,1,4,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.246,0.317,0.394,0.7110000000000001,4,rf
2015-06-13T00:00:00Z,A,MIA,1,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.242,0.312,0.386,0.698,4,rf
2015-06-14T00:00:00Z,A,MIA,1,4,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.242,0.311,0.389,0.7,4,rf
2015-06-16T00:00:00Z,A,HOU,1,4,1,1,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0.242,0.31,0.4,0.71,4,rf
2015-06-17T00:00:00Z,H,HOU,1,3,1,1,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0.243,0.309,0.413,0.722,4,rf
2015-06-18T00:00:00Z,H,HOU,1,4,1,1,0,0,1,3,1,0,1,0,0,0,0,0,0,0,0,0.243,0.31,0.423,0.733,4,rf
2015-06-19T00:00:00Z,H,MIL,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.239,0.306,0.416,0.722,4,rf
2015-06-20T00:00:00Z,H,MIL,1,4,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.239,0.305,0.413,0.718,3,rf
2015-06-21T00:00:00Z,H,MIL,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.237,0.302,0.409,0.711,4,rf
2015-06-24T00:00:00Z,H,ARI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.237,0.302,0.409,0.711,6,rf
2015-06-25T00:00:00Z,H,ARI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.237,0.302,0.409,0.711,5,rf
2015-06-26T00:00:00Z,A,SF,1,5,3,5,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.253,0.316,0.435,0.751,4,rf
2015-06-27T00:00:00Z,A,SF,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.248,0.31,0.426,0.736,4,rf
2015-06-28T00:00:00Z,A,SF,1,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.248,0.309,0.423,0.732,4,rf
2015-06-29T00:00:00Z,A,OAK,1,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.245,0.308,0.418,0.726,5,rf
2015-06-30T00:00:00Z,A,OAK,1,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.241,0.304,0.411,0.715,4,rf
2015-07-01T00:00:00Z,A,OAK,1,4,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.245,0.306,0.416,0.722,4,rf
2015-07-02T00:00:00Z,A,ARI,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.241,0.302,0.41,0.712,3,rf
2015-07-03T00:00:00Z,A,ARI,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.238,0.298,0.404,0.702,5,rf
2015-07-04T00:00:00Z,A,ARI,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.237,0.297,0.402,0.6990000000000001,9,rf
2015-07-05T00:00:00Z,A,ARI,1,4,2,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0.244,0.303,0.419,0.722,4,rf
2015-07-07T00:00:00Z,H,ANA,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.241,0.299,0.412,0.711,5,rf
2015-07-08T00:00:00Z,H,ANA,1,5,1,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.247,0.304,0.419,0.723,4,rf
2015-07-09T00:00:00Z,H,ATL,1,4,1,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.254,0.31,0.435,0.745,5,rf
2015-07-10T00:00:00Z,H,ATL,1,4,1,1,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0.254,0.309,0.443,0.752,4,rf
2015-07-11T00:00:00Z,H,ATL,1,4,1,2,0,0,1,3,1,1,2,0,0,0,0,0,0,0,0,0.258,0.313,0.454,0.767,4,rf
2015-07-12T00:00:00Z,H,ATL,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.259,0.314,0.452,0.766,5,rf
2015-07-17T00:00:00Z,A,SD,1,3,0,1,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0.259,0.316,0.455,0.771,2,rf
